map,actual_layout,visual_family,implementation,primary_tileset,secondary_tileset
ArtisanCave_1F,LAYOUT_ARTISAN_CAVE_1F,Hoenn Emerald,emerald layout; gTileset_General + gTileset_Cave,gTileset_General,gTileset_Cave
ArtisanCave_B1F,LAYOUT_ARTISAN_CAVE_B1F,Hoenn Emerald,emerald layout; gTileset_General + gTileset_Cave,gTileset_General,gTileset_Cave
BattleFrontier_BattleDomeLobby,LAYOUT_BATTLE_FRONTIER_BATTLE_DOME_LOBBY,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_BattleDome,gTileset_Building,gTileset_BattleDome
BattleFrontier_BattleFactoryLobby,LAYOUT_BATTLE_FRONTIER_BATTLE_FACTORY_LOBBY,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_BattleFactory,gTileset_Building,gTileset_BattleFactory
BattleFrontier_BattlePikeLobby,LAYOUT_BATTLE_FRONTIER_BATTLE_PIKE_LOBBY,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_BattlePike,gTileset_Building,gTileset_BattlePike
BattleFrontier_Lounge2,LAYOUT_BATTLE_FRONTIER_LOUNGE1,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_BattleFrontier,gTileset_Building,gTileset_BattleFrontier
BattleFrontier_Lounge4,LAYOUT_BATTLE_FRONTIER_LOUNGE2,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_BattleFrontier,gTileset_Building,gTileset_BattleFrontier
BattleFrontier_Lounge7,LAYOUT_BATTLE_FRONTIER_LOUNGE2,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_BattleFrontier,gTileset_Building,gTileset_BattleFrontier
BattleFrontier_Mart,LAYOUT_MART,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_Shop,gTileset_Building,gTileset_Shop
BattleFrontier_OutsideWest,LAYOUT_BATTLE_FRONTIER_OUTSIDE_WEST,Hoenn ORAS,emerald layout; gTileset_HoennOrasFrontierGeneral + gTileset_HoennOrasBattleFrontierOutsideWest,gTileset_HoennOrasFrontierGeneral,gTileset_HoennOrasBattleFrontierOutsideWest
BattleFrontier_ReceptionGate,LAYOUT_BATTLE_FRONTIER_RECEPTION_GATE,Hoenn Emerald,emerald layout; gTileset_General + gTileset_BattleFrontier,gTileset_General,gTileset_BattleFrontier
BattleFrontier_ScottsHouse,LAYOUT_BATTLE_FRONTIER_SCOTTS_HOUSE,Hoenn Emerald,emerald layout; gTileset_Building + gTileset_BattleFrontier,gTileset_Building,gTileset_BattleFrontier
BlackthornCity_hns,LAYOUT_BLACKTHORN_CITY_HNS,Johto HNS,hns layout; gTileset_Johto_NorthEast_Hns + gTileset_Blackthorn_Hns,gTileset_Johto_NorthEast_Hns,gTileset_Blackthorn_Hns
CherrygroveCity_hns,LAYOUT_CHERRYGROVE_CITY_HNS,Johto HNS,hns layout; gTileset_Johto_General_Hns + gTileset_CherrygroveCity_Hns,gTileset_Johto_General_Hns,gTileset_CherrygroveCity_Hns
CinnabarIsland_PokemonCenter_1F_Frlg,LAYOUT_POKEMON_CENTER_1F_FRLG,Kanto FRLG,frlg layout; gTileset_BuildingFrlg + gTileset_PokemonCenterFrlg,gTileset_BuildingFrlg,gTileset_PokemonCenterFrlg
